fid,OBJECTID,DAMAGE_AREA_ID,CREATED_DATE,MODIFIED_DATE,FEATURE_USER_ID,OBSERVATION_USER_ID,REGION_ID,LABEL,HOST_CODE,HOST,HOST_GROUP_CODE,HOST_GROUP,DCA_CODE,DCA_COMMON_NAME,DAMAGE_TYPE_CODE,DAMAGE_TYPE,PERCENT_AFFECTED_CODE,PERCENT_AFFECTED,PERCENT_MIN,PERCENT_MAX,PERCENT_MID,NOTES,OBSERVATION_COUNT,COLLECTION_MODE,SNAPGRID_ROW,SNAPGRID_COLUMN,AREA_TYPE,ACRES,STATUS,SURVEY_YEAR,LEGACY_SEVERITY_CODE,LEGACY_SEVERITY,LEGACY_PATTERN_CODE,LEGACY_PATTERN,LEGACY_TPA,LEGACY_NO_TREES,LEGACY_FOREST_TYPE_CODE,LEGACY_FOREST_TYPE,GRP,OBSERVATION_ID,IDS_DATA_SOURCE,DATA_SOURCE_NAME,US_AREA,SHAPE_Length,SHAPE_Area,X_clim_dat97count,X_clim_dat97sum,X_clim_dat97mean,X_clim_dat97min,X_clim_dat97max,X_clim_dat06mean,X_clim_dat07mean,X_clim_dat08mean,X_clim_dat09mean,X_clim_dat10mean,X_clim_dat11mean,X_clim_dat12mean,X_clim_dat13mean,X_clim_dat14mean,X_clim_dat15mean,X_clim_dat98mean,X_clim_dat16mean,X_clim_dat17mean,X_clim_dat18mean,X_clim_dat19mean,X_clim_dat20mean,X_clim_dat21mean,X_clim_dat22mean,X_clim_dat23mean,X_clim_dat34mean,X_clim_dat99mean,X_clim_dat00mean,X_clim_dat01mean,X_clim_dat02mean,X_clim_dat03mean,X_clim_dat04mean,X_clim_dat05mean,
1,61,19982006349,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,83212,87,IDS LEGACY FEATURES,CONUS,313.6200058,7797.675934,0.000474305,0.325429006,686.118042,686.118042,686.118042,557.0970459,522.8180542,487.1770325,581.9490356,578.9110107,609.6980591,456.3335876,891.8910522,598.2600098,758.3620605,596.6500244,504.460022,642.1710205,476.5810242,603.5880127,433.1048889,556.3748779,576.7849121,584.8389893,515.5145874,695.8430176,487.835022,507.3120117,385.5810242,605.4450073,697.8530273,518.7969971,
2,69,19982004112,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46152,SINGLE,,,,POLYGON,9.9,1,1998,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,80953,87,IDS LEGACY FEATURES,CONUS,709.9116183,40061.60285,0.002463935,1.272612621,516.4960327,516.4960327,516.4960327,363.5690308,399.8720093,371.78302,517.3990479,469.184021,483.9770203,312.8321838,609.5380249,525.2880249,550.2680054,437.0010071,411.6970215,513.092041,382.0080261,476.6960144,378.6178894,397.1434937,360.3047791,506.6300049,346.867981,459.5490112,366.07901,369.9790039,333.3900146,472.2280273,545.0940552,395.4620056,
3,114,19982003880,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,80720,87,IDS LEGACY FEATURES,CONUS,313.6790815,7800.616541,0.000480581,0.278806245,580.144043,580.144043,580.144043,346.4520264,417.6240234,407.7640076,511.2850342,440.6110229,469.7160339,296.1315918,598.7250366,508.8490295,565.4920044,438.7290344,380.8930054,506.7840271,390.2050171,455.1170349,312.158905,377.3848877,340.7648926,506.4700012,328.2446899,510.1000366,355.0170288,363.9110107,309.6900024,463.5150146,518.401001,401.0250244,
4,157,19982004223,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46152,SINGLE,,,,POLYGON,9.9,1,1998,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,81064,87,IDS LEGACY FEATURES,CONUS,709.68594,40044.90234,0.002461231,1.253293324,509.2140198,509.2140198,509.2140198,374.3760071,396.7480164,370.3660278,518.5100098,475.9250183,499.6390381,314.8754883,610.6070557,522.3910522,554.0180054,439.8910217,422.32901,518.644043,390.3710327,469.2610168,375.4058838,396.6436768,358.8270874,496.4620056,361.1094055,458.928009,369.8630066,370.2750244,338.7070313,457.2840271,551.8730469,400.2140198,
5,180,19982004309,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-100,SINGLE,,,,POLYGON,504.9,1,1998,-1,No Data,-1,No data,0.2,101,9000,MIXED CONIFERS,1,81150,87,IDS LEGACY FEATURES,CONUS,5420.798674,2044808.492,0.125550781,62.45455703,497.444591,455.6720276,529.8930054,395.4732078,407.3305874,375.8493874,525.5862074,498.3985771,539.5933242,330.0305173,615.5060418,572.6983774,586.7693617,429.8305304,444.8925379,559.6798763,408.6739207,484.526421,393.0453418,428.2087225,378.0954935,486.136997,370.9459124,452.6268824,392.1396238,366.4873199,347.7442626,458.2012718,543.9370434,418.3602567,
6,271,19992007805,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,46336,SINGLE,,,,POLYGON,9.9,1,1999,-1,No Data,-1,No data,1.01,10,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,174315,87,IDS LEGACY FEATURES,CONUS,710.5748631,40071.38959,0.002435645,1.778610453,730.2420044,730.2420044,730.2420044,590.3960571,572.0050049,536.8430176,636.1070557,607.9940186,667.7360229,526.7633057,862.78302,659.0480347,776.6830444,667.144043,575.4040527,716.2390137,494.8520203,648.2280273,469.8649902,539.6868896,561.5585938,568.0440063,495.2778931,745.8990479,563.90802,573.2800293,442.315033,651.868042,757.2220459,581.348999,
7,279,19992005558,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46162,SINGLE,,,,POLYGON,20.9,1,1999,-1,No Data,-1,No data,0.96,20,9000,MIXED CONIFERS,1,172046,87,IDS LEGACY FEATURES,CONUS,1032.575353,84529.66141,0.005198858,2.930813313,563.7417452,526.1660156,568.5310059,431.6492312,457.3492202,446.3194232,575.7195677,568.4733038,617.5391259,388.0508507,694.1734611,666.9258685,651.7761808,498.0174972,526.3026123,622.321133,467.678398,562.5403447,467.092892,500.2080858,475.1780852,599.1319931,431.667885,505.2437865,446.1697126,409.6167104,375.3897539,532.3013116,587.7801492,485.2798746,
8,366,19982006447,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46145,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,1.56,3,9000,MIXED CONIFERS,1,83309,87,IDS LEGACY FEATURES,CONUS,313.7233406,7802.616346,0.000474377,0.307359636,647.9230347,647.9230347,647.9230347,525.2319946,518.1190186,470.8530273,566.3580322,535.9070435,585.3710327,460.5462952,832.7210693,575.8520508,731.8450317,595.125,499.007019,619.2730103,447.8320313,576.9530029,416.4609985,522.1951904,548.7002563,581.8369751,490.7121887,673.9750366,479.4960327,505.5110168,373.6870117,582.1610107,689.0930176,495.8400269,
9,381,19982006005,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,82860,87,IDS LEGACY FEATURES,CONUS,313.7226533,7802.584405,0.000475214,0.302126554,635.769043,635.769043,635.769043,483.5830078,495.7150269,426.7180176,532.8240356,527.7319946,555.1719971,392.276886,767.3010254,531.3780518,701.7850342,579.9750366,425.7450256,594.802002,425.2140198,529.7600098,372.6188965,524.4666138,515.8894653,538.757019,453.6105042,659.1670532,439.8310242,455.6700134,370.138031,535.0500488,651.993042,459.9190369,
10,601,19992006445,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,46143,SINGLE,,,,POLYGON,1.9,1,1999,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,172947,87,IDS LEGACY FEATURES,CONUS,314.3626705,7847.849136,0.000479317,0.29466668,614.7640381,614.7640381,614.7640381,421.3860168,472.256012,396.763031,526.9830322,485.2770081,512.9450073,334.9115906,696.5870361,509.1610107,701.4380493,518.4949951,349.335022,547.8260498,376.9100037,523.8550415,337.848877,503.0057983,517.9833984,594.6409912,382.301178,630.3300171,432.5600281,412.2640076,349.9900208,512.0110474,628.9640503,459.0870361,
