fid,orig_fid,OBJECTID,DAMAGE_ARE,CREATED_DA,MODIFIED_D,FEATURE_US,OBSERVATIO,REGION_ID,LABEL,HOST_CODE,HOST,HOST_GROUP,HOST_GRO_1,DCA_CODE,DCA_COMMON,DAMAGE_TYP,DAMAGE_T_1,PERCENT_AF,PERCENT__1,PERCENT_MI,PERCENT_MA,PERCENT__2,NOTES,OBSERVAT_1,COLLECTION,SNAPGRID_R,SNAPGRID_C,AREA_TYPE,ACRES,STATUS,SURVEY_YEA,LEGACY_SEV,LEGACY_S_1,LEGACY_PAT,LEGACY_P_1,LEGACY_TPA,LEGACY_NO_,LEGACY_FOR,LEGACY_F_1,GRP,OBSERVAT_2,IDS_DATA_S,DATA_SOURC,US_AREA,SHAPE_Leng,SHAPE_Area,tmean,tmax,tmin,tdmean,ppt,vpdmin,vpdmax
1,1,61,19982006349,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-1,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,83212,87,IDS LEGACY FEATURES,CONUS,313.6200058,7797.675934,6.032000065,12.46800041,-0.40200001,-3.950916767,596.6500244,1.715000033,11.79900074
2,2,69,19982004112,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-10,SINGLE,,,,POLYGON,9.9,1,1998,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,80953,87,IDS LEGACY FEATURES,CONUS,709.9116183,40061.60285,5.18500042,12.14900017,-1.77700007,-3.624074936,437.0010071,1.207000017,11.59600067
3,3,114,19982003880,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-1,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,80720,87,IDS LEGACY FEATURES,CONUS,313.6790815,7800.616541,5.679000378,12.92500019,-1.565000057,-3.18734169,438.7290344,1.104000092,12.31800079
4,4,157,19982004223,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-10,SINGLE,,,,POLYGON,9.9,1,1998,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,81064,87,IDS LEGACY FEATURES,CONUS,709.68594,40044.90234,4.974000454,12.0010004,-2.052000046,-4.072216511,439.8910217,1.262000084,11.56400013
5,5,180,19982004309,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-100,SINGLE,,,,POLYGON,504.9,1,1998,-1,No Data,-1,No data,0.2,101,9000,MIXED CONIFERS,1,81150,87,IDS LEGACY FEATURES,CONUS,5420.798674,2044808.492,4.277000427,10.70300007,-2.147000074,-4.762700081,454.3440247,1.400000095,10.55000019
6,6,271,19992007805,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,11-10,SINGLE,,,,POLYGON,9.9,1,1999,-1,No Data,-1,No data,1.01,10,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,174315,87,IDS LEGACY FEATURES,CONUS,710.5748631,40071.38959,5.043000221,11.3930006,-1.306000113,-5.831866741,745.8990479,1.799000144,10.88700008
7,7,279,19992005558,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-20,SINGLE,,,,POLYGON,20.9,1,1999,-1,No Data,-1,No data,0.96,20,9000,MIXED CONIFERS,1,172046,87,IDS LEGACY FEATURES,CONUS,1032.575353,84529.66141,3.683000088,10.57700062,-3.210000038,-6.01366663,509.5520325,1.27700007,10.37900066
8,8,366,19982006447,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-3,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,1.56,3,9000,MIXED CONIFERS,1,83309,87,IDS LEGACY FEATURES,CONUS,313.7233406,7802.616346,5.865000248,12.36700058,-0.636000037,-4.097166538,595.125,1.673000097,11.73300076
9,9,381,19982006005,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-1,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,82860,87,IDS LEGACY FEATURES,CONUS,313.7226533,7802.584405,7.101000309,13.52100086,0.682000041,-3.547166586,579.9750366,1.91200006,12.86100101
10,10,601,19992006445,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-1,SINGLE,,,,POLYGON,1.9,1,1999,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,172947,87,IDS LEGACY FEATURES,CONUS,314.3626705,7847.849136,6.381000519,12.88500023,-0.121000007,-5.464666367,630.3300171,2.041000128,12.38700104
11,11,621,19972002577,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-20,SINGLE,,,,POLYGON,5.2,1,1997,-1,No Data,-1,No data,3.88,20,9000,MIXED CONIFERS,1,21945,87,IDS LEGACY FEATURES,CONUS,530.2010666,20850.16736,3.69900012,10.20600033,-2.80700016,-4.459441662,451.1150208,1.086000085,9.714000702
12,12,752,19982003907,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-1,SINGLE,,,,POLYGON,1.9,1,1998,-1,No Data,-1,No data,0.52,1,9000,MIXED CONIFERS,1,80747,87,IDS LEGACY FEATURES,CONUS,313.6290774,7798.580873,5.679000378,12.92500019,-1.565000057,-3.18734169,438.7290344,1.104000092,12.31800079
13,13,867,19972002532,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,11-20,SINGLE,,,,POLYGON,18.1,1,1997,-1,No Data,-1,No data,1.1,20,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,21901,87,IDS LEGACY FEATURES,CONUS,979.673922,73268.72434,1.606000066,8.071000099,-4.858000278,-5.686599731,672.2520142,0.813000023,8.119000435
14,14,918,19982005993,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-5,SINGLE,,,,POLYGON,5,1,1998,-1,No Data,-1,No data,1.01,5,9000,MIXED CONIFERS,1,82848,87,IDS LEGACY FEATURES,CONUS,502.4933755,20060.82657,7.101000309,13.52100086,0.682000041,-3.547166586,579.9750366,1.91200006,12.86100101
15,15,923,19972002780,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-2,SINGLE,,,,POLYGON,13.2,1,1997,-1,No Data,-1,No data,0.15,2,9000,MIXED CONIFERS,1,22148,87,IDS LEGACY FEATURES,CONUS,867.5819269,53213.20302,6.191000462,12.85100079,-0.467000008,-4.075675011,614.4920044,1.687000036,12.07800102
16,16,943,19992005785,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-2,SINGLE,,,,POLYGON,2,1,1999,-1,No Data,-1,No data,1,2,9000,MIXED CONIFERS,1,172276,87,IDS LEGACY FEATURES,CONUS,320.9285867,8155.816204,3.634000063,10.4100008,-3.142000198,-5.834433079,450.5710144,1.266000032,10.24800014
17,17,990,19992006495,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-3,SINGLE,,,,POLYGON,1.9,1,1999,-1,No Data,-1,No data,1.58,3,9000,MIXED CONIFERS,1,172998,87,IDS LEGACY FEATURES,CONUS,314.3702808,7849.127427,6.381000519,12.88500023,-0.121000007,-5.464666367,630.3300171,2.041000128,12.38700104
18,18,1055,19972003009,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,11-5,SINGLE,,,,POLYGON,25.6,1,1997,-1,No Data,-1,No data,0.2,5,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,22380,87,IDS LEGACY FEATURES,CONUS,1212.842249,103651.5188,4.440000057,11.2130003,-2.333000183,-4.683716297,626.9230347,1.237000108,10.52700043
19,19,1068,19972002928,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,Scattered MPB(total of 15),SINGLE,,,,POLYGON,8.8,1,1997,-1,No Data,-1,No data,0.34,3,9000,MIXED CONIFERS,1,22299,87,IDS LEGACY FEATURES,CONUS,720.4960384,35710.9869,5.360000134,11.77800083,-1.057000041,-4.26624155,686.118042,1.610000134,10.93600082
20,20,1090,19972002507,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-10,SINGLE,,,,POLYGON,3.5,1,1997,-1,No Data,-1,No data,2.86,10,9000,MIXED CONIFERS,1,21876,87,IDS LEGACY FEATURES,CONUS,443.6283171,14184.36511,3.844000101,10.62800026,-2.938000202,-4.451025009,526.1660156,1.012000084,10.10700035
21,21,1096,19972002514,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-10,SINGLE,,,,POLYGON,4.3,1,1997,-1,No Data,-1,No data,2.31,10,9000,MIXED CONIFERS,1,21883,87,IDS LEGACY FEATURES,CONUS,509.2511876,17526.82648,3.844000101,10.62800026,-2.938000202,-4.451025009,526.1660156,1.012000084,10.10700035
22,22,1195,19972002465,,,,,2,,746,quaking aspen,,,80001,aspen defoliation,1,Defoliation,,,,,,75(aspen decline),SINGLE,,,,POLYGON,25.5,1,1997,-1,No Data,-1,No data,-1,-1,910,Aspen,1,21835,87,IDS LEGACY FEATURES,CONUS,1416.684132,103220.7288,1.228000045,7.883000374,-5.426000118,-5.435925007,733.8240356,0.594000041,7.926000595
23,23,1219,19972002747,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-2,SINGLE,,,,POLYGON,6.5,1,1997,-1,No Data,-1,No data,0.31,2,9000,MIXED CONIFERS,1,22115,87,IDS LEGACY FEATURES,CONUS,646.2081281,26190.95355,3.994000196,10.31800079,-2.330000162,-5.081291676,730.7470093,1.347000122,9.952000618
24,24,1257,19972002511,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-10,SINGLE,,,,POLYGON,4.2,1,1997,-1,No Data,-1,No data,2.36,10,9000,MIXED CONIFERS,1,21880,87,IDS LEGACY FEATURES,CONUS,494.1959439,17111.17458,3.844000101,10.62800026,-2.938000202,-4.451025009,526.1660156,1.012000084,10.10700035
25,25,1537,19992005670,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-300,SINGLE,,,,POLYGON,613.3,1,1999,-1,No Data,-1,No data,0.49,300,9000,MIXED CONIFERS,1,172161,87,IDS LEGACY FEATURES,CONUS,7181.017464,2482096.405,5.244000435,12.10400105,-1.615000129,-5.933133125,457.7450256,1.709000111,11.81100082
26,26,1595,19972002628,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-5,SINGLE,,,,POLYGON,10,1,1997,-1,No Data,-1,No data,0.5,5,9000,MIXED CONIFERS,1,21996,87,IDS LEGACY FEATURES,CONUS,785.4336327,40563.20444,6.421000481,13.49900055,-0.655000031,-3.210166454,589.4220581,1.390000105,12.66100025
27,27,1654,19992006403,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,5-10,SINGLE,,,,POLYGON,9.9,1,1999,-1,No Data,-1,No data,1.01,10,9000,MIXED CONIFERS,1,172905,87,IDS LEGACY FEATURES,CONUS,711.1465064,40155.58825,6.381000519,12.88500023,-0.121000007,-5.464666367,630.3300171,2.041000128,12.38700104
28,28,1673,19972002648,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,6-50,SINGLE,,,,POLYGON,109.5,1,1997,-1,No Data,-1,No data,0.46,50,9000,MIXED CONIFERS,1,22016,87,IDS LEGACY FEATURES,CONUS,2860.671213,443069.5122,3.717000246,10.45300007,-3.018000126,-5.317358017,516.9250488,1.195000052,10.38700008
