site,sample_id,sample_type,estab_date,pith_inside,death_date,age,event_date,dbh_cm
bald,bald_core_1,core,1826,pith,1984,158,1987,42.4
bald,bald_core_2,core,1659,pith,2008,349,2012,35.6
bald,bald_core_3,core,1578,pith,2011,433,2012,na
bald,bald_core_4,core,1646,pith,2008,362,2012,na
bald,bald_log_1,log,1573,pith,1912,339,1910,na
bald,bald_log_2,log,1578,pith,1916,338,1910,na
bald,bald_log_3,log,1736,pith,1914,178,1910,na
bald,bald_log_4,log,1658,pith,1911,253,1910,30.1
bald,bald_log_5,log,1717,pith,1920,203,1910,32
bald,bald_log_6,log,1715,pith,1911,196,1910,31.8
bald,bald_log_7,log,1770,inside,1942,172,1945,33
bald,bald_log_8,log,1602,pith,1902,300,1910,40.6
bald,bald_log_9,log,1592,pith,1904,312,1910,33
bald,bald_log_10,log,1603,pith,1908,305,1910,50.8
bald,bald_log_11,log,1582,pith,1868,286,1868,35.6
bald,bald_log_12,log,1640,inside,1940,300,1945,47
bald,bald_log_13,log,1691,inside,1940,249,1945,na
bald,bald_log_14,log,1652,inside,1900,248,1889,na
bald,bald_log_15,log,1730,pith,1914,184,1910,na
bald,bald_log_16,log,1657,pith,1912,255,1910,na
bald,bald_log_17,log,1726,pith,1912,186,1910,na
cam,cam_core_1,core,1751,pith,2008,257,2012,35.6
cam,cam_core_2,core,1794,pith,2007,213,2012,30.5
cam,cam_core_3,core,1848,pith,2007,159,2012,35.6
cam,cam_core_4,core,1721,pith,2007,286,2012,30.5
cam,cam_core_5,core,1724,pith,2007,283,2012,30.5
cam,cam_core_6,core,1757,pith,2007,250,2012,33
cam,cam_core_7,core,1919,inside,2007,88,2012,30.5
cam,cam_log_1,log,1660,pith,1907,247,1910,38.1
cam,cam_log_2,log,1646,pith,1890,244,1889,30.5
cam,cam_log_3,log,1750,inside,1899,149,1889,55.9
cam,cam_log_4,log,1651,pith,1881,230,1889,22.9
cam,cam_log_5,log,1651,pith,1879,228,1889,25.4
cam,cam_log_6,log,1641,pith,1912,271,1910,30.5
cam,cam_log_7,log,1632,pith,1906,274,1910,22.9
cam,cam_log_8,log,1658,pith,1907,249,1910,30.5
cam,cam_log_9,log,1666,pith,1911,245,1910,25.4
cam,cam_log_10,log,1651,pith,1890,239,1889,30.5
cam,cam_log_11,log,1761,pith,1904,143,1910,30.5
cam,cam_log_12,log,1728,pith,1914,186,1910,45.7
cam,cam_log_13,log,1660,pith,1891,231,1889,25.4
cam,cam_log_14,log,1635,pith,1898,263,1889,na
cam,cam_log_15,log,1677,pith,1891,214,1889,27.9
cam,cam_log_16,log,1644,pith,1900,256,1889,45.7
dead,dead_core_1,core,1834,pith,2010,176,2012,45.7
dead,dead_core_2,core,1777,pith,2008,231,2012,38.1
dead,dead_log_1,log,1670,inside,1890,220,1889,na
dead,dead_log_2,log,1739,pith,1911,172,1910,55.9
dead,dead_log_3,log,1636,pith,1921,285,1910,66
dead,dead_log_4,log,1667,pith,1912,245,1910,50.8
dead,dead_log_5,log,1817,pith,2009,192,2012,31
dead,dead_log_6,log,1687,inside,1897,210,1889,30.5
dead,dead_log_7,log,1753,pith,1911,158,1910,na
dead,dead_log_8,log,1669,pith,1914,245,1910,33
dead,dead_log_9,log,1586,pith,1897,311,1889,na
dead,dead_log_10,log,1669,pith,1889,220,1889,na
dead,dead_log_11,log,1791,pith,1905,114,1910,na
dead,dead_log_12,log,1620,pith,1911,291,1910,na
dead,dead_log_13,log,1697,pith,1908,211,1910,na
dead,dead_log_14,log,1585,pith,1880,295,1889,na
dmr,dmr_core_1,core,1711,pith,2012,301,2012,50.8
dmr,dmr_core_2,core,1674,pith,2011,337,2012,33.8
dmr,dmr_core_3,core,1768,pith,2012,244,2012,32.1
dmr,dmr_core_4,core,1761,pith,2012,251,2012,40.6
dmr,dmr_core_5,core,1716,pith,2012,296,2012,50.8
dmr,dmr_core_6,core,1716,pith,2012,296,2012,35.6
dmr,dmr_core_7,core,1677,pith,2011,334,2012,50.8
dmr,dmr_core_8,core,1732,pith,2012,280,2012,30.5
dmr,dmr_core_9,core,1699,pith,2012,313,2012,43.2
dmr,dmr_log_1,log,1737,pith,1902,165,1910,27.9
dmr,dmr_log_2,log,1668,pith,2012,344,2012,30.5
dmr,dmr_log_3,log,1665,pith,1914,249,1910,25.4
dmr,dmr_log_4,log,1640,pith,1914,274,1910,27.9
dmr,dmr_log_5,log,1678,pith,1912,234,1910,33
